Voici un tableau de référence des termes et expressions associées au 6502 :
Terme 							Description
Absolute address 				Cette expression permet d'indiquer une adresse identifiant un emplacement d'entreposage ou un 	périphérique sans l'utilisation d'une base, d'un déplacement ou d'un autre facteur. Voir aussi Effective address, Relative offset.
Absolute addressing 			Cette expression permet d'indiquer un mode d'adressage dans lequel l'instruction contient l'adresse réelle requise pour son exécution. Dans la terminologie 6502, l'adressage absolu fait référence à un type d'adressage direct dans lequel l'instruction contient une adresse complète de 16 bits par opposition à l'adressage de page zéro dans lequel l'instruction ne contient qu'une adresse de 8 bits à la page 0.
Absolute indexed addressing 	Cette expression permet d'indiquer un format d'adressage indexé dans laquelle l'instruction contient une adresse de base complète de 16 bits.
Accumulator 					Ce mot permet d'indiquer un registre étant la source implicite d'un opérande et la destination du résultat pour la plupart des opérations arithmétiques et logiques.
ACIA 							Cette abréviation, provenant de l'anglicisme Asynchronous Communications Interface Adapter, permet d'indiquer un périphérique d'interface série. Les ACIA courants dans les micro-ordinateurs basés sur 6502 sont les périphériques 6551 et 6850. Voir également UART.
Active transition 				(dans un PIA ou VIA) 	Cette expression permet d'indiquer le bord sur la ligne de contrôle définissant un drapeau d'interruption. Les alternatives sont un front négatif (1 à la transition) ou un front positif (0 à 1 transition).
Address 						Ce mot permet d'indiquer le code d'identification distinguant un emplacement mémoire ou un port d'entrée/sortie d'un autre et pouvant être utilisé pour en sélectionner un en particulier.
Addressing modes 				Cette expression permet d'indiquer les méthodes pour spécifier les adresses à utiliser pour exécuter une instruction. Les modes d'adressage courants sont direct, immédiat, indexé, indirect et relatif.
Address register 				Cette expression permet d'indiquer un registre contenant une adresse mémoire.
Address space 					Cette expression permet d'indiquer l'intervalle totale d'adresses à laquelle un ordinateur particulier peut se référer.
ALU 							Cette abréviation, provenant de l'anglicisme Arithmetic-logic unit, permet d'indiquer un périphérique pouvant exécuter l'une des nombreuses fonctions arithmétiques ou logiques; Les entrées de fonction sélectionnent quelle fonction est exécutée pendant un cycle particulier.
Arithmetic-logic unit 			Cette expression permet d'indiquer un périphérique pouvant exécuter l'une des nombreuses fonctions arithmétiques ou logiques; Les entrées de fonction sélectionnent quelle fonction est exécutée pendant un cycle particulier. Synonyme de ALU.
Arithmetic shift 				Cette expression permet d'indiquer une opération de décalage préservant la valeur du bit de signe (bit le plus significatif). Dans un décalage vers la droite, cela se traduit par la copie du bit de signe dans les positions de bit suivantes (appelée extension de signe).
Arm 							Ce mot permet d'indiquer l'activation de quelques choses comme une interruption.
Array 							Ce mot permet d'indiquer une collection d'éléments de données connexes, généralement entreposés dans des adresses mémoire consécutives.
ASCII 							Cette abréviation, provenant de l'anglicisme American Standard Code for Information Interchange, permet d'indiquer un code de caractères de 7 bits largement utilisé dans les micro-ordinateurs et les communications.
Assembler 						Ce mot permet d'indiquer un programme informatique convertissant les programmes en langage assembleur en un format (langage machine) que l'ordinateur peut exécuter directement. L'assembleur convertie les codes et les noms des opérations mnémotechniques en leurs équivalents numériques et attribue des emplacements en mémoire aux données et instructions.
Assembly language 				Cette expression permet d'indiquer un langage informatique dans lequel le programmeur peut utiliser des codes d'opération mnémotechniques, des étiquettes et des noms pour faire référence à leurs équivalents numériques.
Asynchronous 					Ce mot permet d'indiquer le fonctionnement sans référence à une source de synchronisation globale, c'est-à-dire à des intervalles irréguliers.
Autodecrementing 				Ce mot permet d'indiquer la décrémentation automatique d'un registre d'adresses dans le cadre de l'exécution d'une instruction l'utilisant.
Autoincrementing 				Ce mot permet d'indiquer l'incrémentation automatique d'un registre d'adresses dans le cadre de l'exécution d'une instruction l'utilisant.
Automatic mode 					Cette expression permet d'indiquer un mode de fonctionnement dans lequel la puce périphérique produit automatiquement des signaux de commande sans intervention de programme spécifique.
Base address 					Cette expression permet d'indiquer l'adresse en mémoire à laquelle une matrice ou une table démarre. Aussi appelé adresse de départ ou base.
Baud 							Ce mot permet d'indiquer une mesure de la vitesse à laquelle les données série sont transmises, bits par seconde, mais comprenant à la fois les bits de données et les bits utilisés pour la synchronisation, la vérification des erreurs et à d'autres fins. Les débits en bauds courants sont 110, 300, 1200, 2400, 4800 et 9600.
